Probability,Distance(mi),Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),Bump,Crossing,Roundabout,Stop,Traffic_Signal,Accident_year,Accident_month,Accident_hour
0.87,0.048,64.9,63.99413146,87,29.97,10,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,TRUE,2017,7,0
0.79,0.205,66,63.99413146,60,29.94,10,3.5,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,0
0.98,0.006,66,63.99413146,60,29.94,10,3.5,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,0
0.78,0,66,63.99413146,87,29.97,8,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,TRUE,2017,7,0
0.77,0.98,63,63.99413146,75,30.01,10,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,0
0.76,0.406,73,63.99413146,48,29.91,10,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,0
0.94,0,88,63.99413146,40,29.81,10,3.5,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,0
0.8,0.603,66,63.99413146,87,29.98,10,3.5,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,0
0.96,0.146,66,63.99413146,87,29.97,8,7.849917628,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,0
0.95,0,84,63.99413146,9,29.87,10,4.6,0.079661972,FALSE,TRUE,FALSE,FALSE,TRUE,2017,7,0
0.52,0.897,53.1,63.99413146,86,30.12,10,6.9,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,0
0.88,0,66,63.99413146,60,29.94,10,3.5,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,0
0.8,0,88,63.99413146,4,29.82,10,8.1,0.079661972,FALSE,TRUE,FALSE,FALSE,TRUE,2017,7,0
0.97,0.389,75,63.99413146,44,29.81,10,4.6,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,1
0.79,0.386,64.9,63.99413146,93,29.97,9,3.5,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,1
0.79,0.445,73.9,63.99413146,34,30,10,11.5,0.079661972,FALSE,FALSE,FALSE,FALSE,FALSE,2017,7,1
